Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
2626,Tae Hyun Bang,Jon Tuck,190,-230,Blue,190.0,43.47826087
2627,Zhang Lipeng,Kajan Johnson,-115,-105,Blue,86.95652174,95.23809524
2628,Li Jingliang,Dhiego Lima,130,-140,Red,130.0,71.42857143
2629,Ning Guangyou,Royston Wee,-140,120,Red,71.42857143,120.0
2630,Roldan Sangcha-an,Jon Delos Reyes,130,-150,Blue,130.0,66.66666667
2631,Nolan Ticman,Yao Zhikui,-270,230,Blue,37.03703704,230.0
2632,Stipe Miocic,Mark Hunt,-235,195,Red,42.55319149,195.0
2633,Brad Tavares,Robert Whittaker,-135,115,Blue,74.07407407,115.0
2634,Anthony Perosh,Sean O'Connell,-130,120,Blue,76.92307692,120.0
2635,Jake Matthews,James Vick,-190,165,Blue,52.63157895,165.0
2636,Hatsu Hioki,Dan Hooker,-290,245,Blue,34.48275862,245.0
2637,Kyle Noke,Jonavin Webb,-110,-110,Red,90.90909091,90.90909091
2638,Daniel Kelly,Sam Alvey,300,-360,Blue,300.0,27.77777778
2639,Bec Rawlings,Lisa Ellis,-220,180,Red,45.45454545,180.0
2640,Dylan Andrews,Bradley Scott,-130,110,Blue,76.92307692,110.0
2641,Alex Chambers,Kailin Curran,210,-250,Red,210.0,40.0
2642,Vik Grujic,Brendan O'Reilly,-140,120,Blue,71.42857143,120.0
2643,Alptekin Ozkilic,Ben Nguyen,-230,190,Blue,43.47826087,190.0
2644,Demetrious Johnson,Kyoji Horiguchi,-980,640,Red,10.20408163,640.0
2645,Rampage Jackson,Fabio Maldonado,-170,150,Red,58.82352941,150.0
2646,Michael Bisping,CB Dollaway,-145,125,Red,68.96551724,125.0
2647,John Makdessi,Shane Campbell,-110,-110,Red,90.90909091,90.90909091
2648,Yves Jabouin,Thomas Almeida,335,-420,Blue,335.0,23.80952381
2649,Patrick Cote,Joe Riggs,-260,220,Red,38.46153846,220.0
2650,Alexis Davis,Sarah Kaufman,178,-215,Red,178.0,46.51162791
2651,Chad Laprise,Bryan Barberena,-420,335,Red,23.80952381,335.0
2652,Olivier Aubin-Mercier,David Michaud,-340,280,Red,29.41176471,280.0
2653,Nordine Taleb,Chris Clements,-210,175,Red,47.61904762,175.0
2654,Jessica Rakoczy,Valerie Letourneau,105,-125,Blue,105.0,80.0
2655,Randa Markos,Aisling Daly,-275,235,Red,36.36363636,235.0
2656,Lyoto Machida,Luke Rockhold,125,-145,Blue,125.0,68.96551724
2657,Jacare Souza,Chris Camozzi,-1600,1050,Red,6.25,1050.0
2658,Cub Swanson,Max Holloway,-155,135,Blue,64.51612903,135.0
2659,Felice Herrig,Paige VanZant,100,-120,Blue,100.0,83.33333333
2660,Jim Miller,Beneil Dariush,145,-165,Blue,145.0,60.60606061
2661,Ovince Saint Preux,Patrick Cummins,-105,-115,Red,95.23809524,86.95652174
2662,Corey Anderson,Gian Villante,-400,325,Blue,25.0,325.0
2663,Takeya Mizugaki,Aljamain Sterling,285,-345,Blue,285.0,28.98550725
2664,George Sullivan,Tim Means,135,-155,Blue,135.0,64.51612903
2665,Diego Brandao,Jimy Hettes,-140,120,Red,71.42857143,120.0
2666,Eddie Gordon,Chris Dempsey,-370,310,Blue,27.02702703,310.0
2667,Gabriel Gonzaga,Mirko Cro Cop,-220,180,Blue,45.45454545,180.0
2668,Jimi Manuwa,Jan Blachowicz,100,-120,Red,100.0,83.33333333
2669,Pawel Pawlak,Sheldon Westcott,190,-230,Red,190.0,43.47826087
2670,Joanne Calderwood,Maryna Moroz,-550,425,Blue,18.18181818,425.0
2671,Seth Baczynski,Leon Edwards,150,-170,Blue,150.0,58.82352941
2672,Bartosz Fabinski,Garreth McLellan,-135,115,Red,74.07407407,115.0
2673,Sergio Moraes,Mickael Lebout,-550,425,Red,18.18181818,425.0
2674,Damian Stasiak,Yaotzin Meza,-135,115,Blue,74.07407407,115.0
2675,Daniel Omielanczuk,Anthony Hamilton,-135,115,Blue,74.07407407,115.0
2676,Izabela Badurek,Alexandra Albu,185,-225,Blue,185.0,44.44444444
2677,Marcin Bandel,Stevie Ray,135,-155,Blue,135.0,64.51612903
2678,Taylor Lapilus,Rocky Lee,-150,130,Red,66.66666667,130.0
2679,Chad Mendes,Ricardo Lamas,-460,365,Red,21.73913043,365.0
2680,Jorge Masvidal,Al Iaquinta,-110,-110,Blue,90.90909091,90.90909091
2681,Michael Chiesa,Mitch Clarke,-420,335,Red,23.80952381,335.0
2682,Julianna Pena,Milana Dudieva,-400,325,Red,25.0,325.0
2683,Clay Guida,Robert Peralta,-245,205,Red,40.81632653,205.0
2684,Dustin Poirier,Diego Ferreira,-150,130,Red,66.66666667,130.0
2685,Liz Carmouche,Lauren Murphy,100,-120,Red,100.0,83.33333333
2686,Gray Maynard,Alexander Yakovlev,120,-140,Blue,120.0,71.42857143
2687,Shamil Abdurakhimov,Tim Johnson,-260,220,Blue,38.46153846,220.0
2688,Ron Stallings,Justin Jones,160,-185,Red,160.0,54.05405405
2689,Demian Maia,Ryan LaFlare,-105,-115,Red,95.23809524,86.95652174
2690,Erick Silva,Josh Koscheck,-460,365,Red,21.73913043,365.0
2691,Leonardo Santos,Anthony Rocco Martin,140,-160,Red,140.0,62.5
2692,Amanda Nunes,Shayna Baszler,-750,525,Red,13.33333333,525.0
2693,Gilbert Burns,Alex Oliveira,-800,550,Red,12.5,550.0
2694,Godofredo Pepey,Andre Fili,265,-325,Red,265.0,30.76923077
2695,Francisco Trinaldo,Akbarh Arreola,-200,170,Red,50.0,170.0
2696,Kevin Souza,Katsunori Kikuno,-255,215,Red,39.21568627,215.0
2697,Leonardo Mafra,Cain Carrizosa,-170,150,Red,58.82352941,150.0
2698,Jorge de Oliveira,Christos Giagos,175,-210,Blue,175.0,47.61904762
2699,Bentley Syler,Fredy Serrano,135,-155,Blue,135.0,64.51612903
2700,Anthony Pettis,Rafael Dos Anjos,-450,400,Blue,22.22222222,400.0
2701,Carla Esparza,Joanna Jedrzejczyk,-160,140,Blue,62.5,140.0
2702,Johny Hendricks,Matt Brown,-380,340,Red,26.31578947,340.0
2703,Roy Nelson,Alistair Overeem,150,-160,Blue,150.0,62.5
2704,Chris Cariaso,Henry Cejudo,600,-750,Blue,600.0,13.33333333
2705,Ross Pearson,Sam Stout,-370,330,Red,27.02702703,330.0
2706,Elias Theodorou,Roger Narvaez,-335,305,Red,29.85074627,305.0
