Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner
3777,Norifumi Yamamoto,Darren Uyenoyama,-390.0,348.0,Blue
3778,Mackens Semerzier,Robert Peralta,-105.0,-105.0,Draw
3779,Alex Caceres,Cole Escovedo,248.0,-270.0,Red
3780,Mike Pierce,Paul Bradley,-300.0,270.0,Red
3781,Aaron Rosa,Matt Lucas,-120.0,110.0,Red
3782,Chris Leben,Mark Munoz,205.0,-225.0,Blue
3783,Brad Pickett,Renan Barao,115.0,-125.0,Blue
3784,Thiago Alves,Papy Abedi,-335.0,305.0,Red
3785,Cyrille Diabate,Anthony Perosh,-355.0,320.0,Blue
3786,Terry Etim,Edward Faaloloto,-660.0,540.0,Red
3787,John Maguire,Justin Edwards,120.0,-130.0,Red
3788,Rob Broughton,Philip De Fries,145.0,-155.0,Blue
3789,Michihiro Omigawa,Jason Young,-210.0,190.0,Red
3790,Chris Cope,Che Mills,235.0,-255.0,Blue
3791,Chris Cariaso,Vaughan Lee,-205.0,188.0,Red
3792,BJ Penn,Nick Diaz,105.0,-115.0,Blue
3793,Cheick Kongo,Matt Mitrione,118.0,-128.0,Red
3794,Mirko Cro Cop,Roy Nelson,190.0,-210.0,Blue
3795,Scott Jorgensen,Jeff Curran,-410.0,365.0,Red
3796,Hatsu Hioki,George Roop,-315.0,285.0,Red
3797,Dennis Siver,Donald Cerrone,215.0,-235.0,Blue
3798,Tyson Griffin,Bart Palaszewski,-295.0,265.0,Blue
3799,Brandon Vera,Eliot Marshall,-380.0,340.0,Red
3800,Ramsey Nijem,Danny Downes,-195.0,180.0,Red
3801,Chris Camozzi,Francis Carmont,-115.0,105.0,Blue
3802,Dustin Jacoby,Clifford Starks,-120.0,110.0,Blue
3803,Frankie Edgar,Gray Maynard,-125.0,115.0,Red
3804,Jose Aldo,Kenny Florian,-355.0,320.0,Red
3805,Chael Sonnen,Brian Stann,-260.0,240.0,Red
3806,Leonard Garcia,Nam Phan,215.0,-235.0,Blue
3807,Melvin Guillard,Joe Lauzon,-500.0,435.0,Blue
3808,Demian Maia,Jorge Santiago,-290.0,260.0,Red
3809,Anthony Pettis,Jeremy Stephens,-280.0,255.0,Red
3810,Joey Beltran,Stipe Miocic,255.0,-280.0,Blue
3811,Tiequan Zhang,Darren Elkins,-135.0,125.0,Blue
3812,Aaron Simpson,Eric Schafer,-400.0,355.0,Red
3813,Steve Cantwell,Mike Massenzio,-155.0,145.0,Blue
3814,Dominick Cruz,Demetrious Johnson,-550.0,425.0,Red
3815,Pat Barry,Stefan Struve,-165.0,155.0,Blue
3816,Anthony Johnson,Charlie Brenneman,-200.0,185.0,Red
3817,Matt Wiman,Mac Danzig,-220.0,200.0,Red
3818,Yves Edwards,Rafaello Oliveira,-155.0,145.0,Red
3819,Michael Johnson,Paul Sass,-173.0,163.0,Blue
3820,Mike Easton,Byron Bloodworth,-390.0,320.0,Red
3821,Shane Roller,TJ Grant,-174.0,164.0,Blue
3822,Josh Neer,Keith Wisniewski,-260.0,240.0,Red
3823,Walel Watson,Joseph Sandoval,100.0,-110.0,Red
3824,Jon Jones,Rampage Jackson,-500.0,435.0,Red
3825,Matt Hughes,Josh Koscheck,350.0,-395.0,Blue
3826,Ben Rothwell,Mark Hunt,-355.0,320.0,Blue
3827,Travis Browne,Rob Broughton,-420.0,375.0,Red
3828,Nate Diaz,Takanori Gomi,-255.0,235.0,Red
3829,Tony Ferguson,Aaron Riley,-340.0,310.0,Red
3830,Nick Ring,Tim Boetsch,177.0,-192.0,Blue
3831,Junior Assuncao,Eddie Yagin,125.0,-135.0,Red
3832,Takeya Mizugaki,Cole Escovedo,-220.0,200.0,Red
3833,James Te Huna,Ricardo Romero,-152.0,142.0,Red
3834,Jake Shields,Jake Ellenberger,-135.0,125.0,Blue
3835,Court McGee,Dongi Yang,-174.0,164.0,Red
3836,Jonathan Brookins,Erik Koch,185.0,-200.0,Blue
3837,Alan Belcher,Jason MacDonald,-290.0,260.0,Red
3838,Cody McKenzie,Vagner Rocha,170.0,-185.0,Blue
3839,Evan Dunham,Shamar Bailey,-415.0,370.0,Red
3840,Matthew Riddle,Lance Benoist,-210.0,175.0,Blue
3841,Ken Stone,Donny Walker,-165.0,155.0,Red
3842,Clay Harvison,Seth Baczynski,140.0,-150.0,Blue
3843,TJ Waldburger,Mike Stumpf,-230.0,210.0,Red
3844,Robert Peralta,Mike Lullo,-130.0,120.0,Red
3845,Justin Edwards,Jorge Lopez,320.0,-390.0,Red
3846,Anderson Silva,Yushin Okami,-600.0,500.0,Red
3847,Mauricio Rua,Forrest Griffin,-210.0,190.0,Red
3848,Ross Pearson,Edson Barboza,248.0,-270.0,Blue
3849,Minotauro Nogueira,Brendan Schaub,230.0,-250.0,Red
3850,Luiz Cane,Stanislav Nedkov,-240.0,220.0,Blue
3851,Thiago Tavares,Spencer Fisher,-185.0,170.0,Red
3852,Rousimar Palhares,Dan Miller,-245.0,225.0,Red
3853,Paulo Thiago,David Mitchell,-415.0,370.0,Red
3854,Raphael Assuncao,Johnny Eduardo,-155.0,145.0,Red
3855,Erick Silva,Luis Ramos,-280.0,255.0,Red
3856,Iuri Alcantara,Felipe Arantes,-475.0,420.0,Red
3857,Yves Jabouin,Ian Loveland,170.0,-185.0,Red
3858,Dan Hardy,Chris Lytle,-104.0,-106.0,Blue
3859,Jim Miller,Benson Henderson,-170.0,160.0,Blue
3860,Donald Cerrone,Charles Oliveira,104.0,-114.0,Red
3861,Amir Sadollah,Duane Ludwig,-395.0,350.0,Blue
3862,CB Dollaway,Jared Hamman,-240.0,220.0,Blue
3863,Joseph Benavidez,Eddie Wineland,-295.0,265.0,Red
3864,Ed Herman,Kyle Noke,122.0,-132.0,Red
3865,Ronny Markes,Karlos Vemola,200.0,-220.0,Red
3866,Jimy Hettes,Alex Caceres,-420.0,375.0,Red
3867,Cole Miller,TJ O'Brien,-440.0,390.0,Red
3868,Jacob Volkmann,Danny Castillo,-120.0,100.0,Red
3869,Edwin Figueroa,Jason Reinhardt,-385.0,345.0,Red
3870,Rashad Evans,Tito Ortiz,-375.0,335.0,Red
3871,Vitor Belfort,Yoshihiro Akiyama,-320.0,290.0,Red
3872,Dennis Hallman,Brian Ebersole,115.0,-125.0,Blue
3873,Jorge Rivera,Costas Philippou,-135.0,125.0,Blue
3874,Rory MacDonald,Mike Pyle,-255.0,235.0,Red
3875,Matt Hamill,Alexander Gustafsson,140.0,-150.0,Blue
3876,Chad Mendes,Rani Yahya,-540.0,460.0,Red
3877,Ivan Menjivar,Nick Pace,-164.0,154.0,Red
3878,Johny Hendricks,Mike Pierce,-142.0,132.0,Red
3879,Mike Brown,Nam Phan,-210.0,190.0,Red
3880,Rafael Natal,Paul Bradley,130.0,-140.0,Red
3881,Dominick Cruz,Urijah Faber,-185.0,170.0,Red
3882,Wanderlei Silva,Chris Leben,-200.0,185.0,Blue
3883,Dennis Siver,Matt Wiman,-105.0,-105.0,Red
3884,Tito Ortiz,Ryan Bader,500.0,-600.0,Red
3885,Carlos Condit,Dong Hyun Kim,101.0,-111.0,Red
3886,Melvin Guillard,Shane Roller,-280.0,255.0,Red
3887,George Sotiropoulos,Rafael Dos Anjos,-215.0,195.0,Blue
3888,Brian Bowles,Takeya Mizugaki,-315.0,285.0,Red
3889,Brad Tavares,Aaron Simpson,205.0,-245.0,Blue
3890,Anthony Njokuani,Andre Winner,-145.0,135.0,Red
3891,Jeff Hougland,Donny Walker,160.0,-170.0,Red
3892,Cheick Kongo,Pat Barry,-200.0,185.0,Red
3893,Charlie Brenneman,Rick Story,415.0,-470.0,Red
3894,Matt Brown,John Howard,235.0,-255.0,Red
3895,Christian Morecraft,Matt Mitrione,235.0,-255.0,Blue
3896,Tyson Griffin,Manvel Gamburyan,-255.0,215.0,Red
3897,Joe Stevenson,Javier Vazquez,-170.0,150.0,Blue
3898,Joe Lauzon,Curt Warburton,-320.0,260.0,Red
3899,Daniel Roberts,Rich Attonito,-110.0,-110.0,Blue
3900,Nik Lentz,Charles Oliveira,145.0,-165.0,Draw
3901,Ricardo Lamas,Matt Grice,-165.0,145.0,Red
3902,Michael Johnson,Edward Faaloloto,-560.0,430.0,Red
3903,Shane Carwin,Junior Dos Santos,145.0,-155.0,Blue
3904,Kenny Florian,Diego Nunes,-220.0,200.0,Red
3905,Mark Munoz,Demian Maia,-150.0,140.0,Red
3906,Dave Herman,Jon Olav Einemo,-143.0,133.0,Red
3907,Vagner Rocha,Donald Cerrone,325.0,-400.0,Blue
3908,Yves Edwards,Sam Stout,167.0,-178.0,Blue
3909,Jesse Bongfeldt,Chris Weidman,420.0,-475.0,Blue
3910,Mike Massenzio,Krzysztof Soszynski,265.0,-325.0,Blue
3911,Nick Ring,James Head,-130.0,110.0,Red
3912,Dustin Poirier,Jason Young,-335.0,275.0,Red
3913,Joey Beltran,Aaron Rosa,115.0,-135.0,Red
3914,Darren Elkins,Michihiro Omigawa,175.0,-210.0,Red
3915,Ramsey Nijem,Tony Ferguson,-105.0,-115.0,Blue
3916,Clay Guida,Anthony Pettis,200.0,-220.0,Red
3917,Ed Herman,Tim Credeur,-130.0,110.0,Red
3918,Fabio Maldonado,Kyle Kingsbury,165.0,-190.0,Blue
3919,Chuck O'Neil,Chris Cope,-175.0,155.0,Blue
3920,Danny Downes,Jeremy Stephens,300.0,-360.0,Blue
3921,Josh Grispi,George Roop,-420.0,335.0,Blue
3922,Ryan McGillivray,Shamar Bailey,250.0,-300.0,Blue
3923,Clay Harvison,Justin Edwards,170.0,-200.0,Red
3924,Scott Jorgensen,Ken Stone,-460.0,365.0,Red
3925,Reuben Duran,Francisco Rivera,-230.0,190.0,Red
3926,Rampage Jackson,Matt Hamill,-305.0,275.0,Red
3927,Frank Mir,Roy Nelson,-120.0,110.0,Red
3928,Stefan Struve,Travis Browne,118.0,-128.0,Blue
3929,Thiago Alves,Rick Story,-230.0,210.0,Blue
3930,Brian Stann,Jorge Santiago,-140.0,130.0,Red
3931,Miguel Torres,Demetrious Johnson,-120.0,110.0,Blue
3932,Kendall Grove,Tim Boetsch,-125.0,115.0,Blue
3933,Gleison Tibau,Rafaello Oliveira,-430.0,380.0,Red
3934,Michael McDonald,Chris Cariaso,-380.0,340.0,Red
3935,Cole Escovedo,Renan Barao,315.0,-345.0,Blue
3936,Georges St-Pierre,Jake Shields,-455.0,405.0,Red
3937,Jose Aldo,Mark Hominick,-500.0,435.0,Red
3938,Lyoto Machida,Randy Couture,-350.0,318.0,Red
3939,Vladimir Matyushenko,Jason Brilz,-102.0,-108.0,Red
3940,Mark Bocek,Benson Henderson,140.0,-150.0,Blue
3941,Nate Diaz,Rory MacDonald,127.0,-137.0,Blue
3942,Jake Ellenberger,Sean Pierson,-200.0,185.0,Red
3943,Daniel Roberts,Claude Patrick,110.0,-120.0,Blue
3944,Ivan Menjivar,Charlie Valencia,-185.0,170.0,Red
3945,Jason MacDonald,Ryan Jensen,115.0,-125.0,Red
3946,John Makdessi,Kyle Watson,-170.0,160.0,Red
3947,Yves Jabouin,Pablo Garza,-160.0,150.0,Blue
3948,Phil Davis,Rogerio Nogueira,-255.0,235.0,Red
3949,Anthony Johnson,Dan Hardy,-173.0,163.0,Red
3950,DaMarques Johnson,Amir Sadollah,220.0,-240.0,Blue
3951,Chan Sung Jung,Leonard Garcia,-125.0,105.0,Red
3952,Jon Madsen,Mike Russow,-300.0,250.0,Blue
3953,Alex Caceres,Mackens Semerzier,190.0,-210.0,Blue
3954,John Hathaway,Kris McCray,-390.0,320.0,Red
3955,Michael McDonald,Edwin Figueroa,-460.0,365.0,Red
3956,Sean McCorkle,Christian Morecraft,180.0,-220.0,Blue
3957,Johny Hendricks,TJ Waldburger,-325.0,265.0,Red
3958,Mario Miranda,Aaron Simpson,175.0,-210.0,Blue
3959,Waylon Lowe,Nik Lentz,160.0,-185.0,Blue
3960,Mauricio Rua,Jon Jones,195.0,-215.0,Blue
3961,Urijah Faber,Eddie Wineland,-400.0,355.0,Red
3962,Jim Miller,Kamal Shalorus,-255.0,235.0,Red
3963,Dan Miller,Nate Marquardt,285.0,-315.0,Blue
3964,Mirko Cro Cop,Brendan Schaub,225.0,-245.0,Blue
3965,Luiz Cane,Eliot Marshall,-185.0,160.0,Red
3966,Edson Barboza,Anthony Njokuani,-260.0,220.0,Red
3967,Ricardo Almeida,Mike Pyle,-150.0,130.0,Blue
3968,Kurt Pellegrino,Gleison Tibau,125.0,-145.0,Blue
3969,Joseph Benavidez,Ian Loveland,-450.0,360.0,Red
3970,Costas Philippou,Nick Catone,175.0,-210.0,Blue
3971,Erik Koch,Raphael Assuncao,-165.0,145.0,Red
3972,Diego Sanchez,Martin Kampmann,125.0,-135.0,Red
3973,CB Dollaway,Mark Munoz,160.0,-170.0,Blue
3974,Alessio Sakara,Chris Weidman,190.0,-230.0,Blue
3975,Brian Bowles,Damacio Page,-310.0,255.0,Red
3976,Steve Cantwell,Cyrille Diabate,-145.0,125.0,Blue
3977,Joe Stevenson,Danny Castillo,-130.0,110.0,Blue
3978,Thiago Tavares,Shane Roller,105.0,-115.0,Blue
3979,Takeya Mizugaki,Reuben Duran,-225.0,185.0,Red
3980,Rob Kimmons,Dongi Yang,185.0,-225.0,Blue
3981,David Branch,Rousimar Palhares,140.0,-160.0,Blue
